epoch,acc,loss,val_acc,val_loss
0,0.7352439145062339,0.5254037587590296,0.7551464766429137,0.4948770330005096
1,0.7901339550761923,0.4335297431399415,0.7797159540775931,0.4525214388010904
2,0.8540471007322383,0.3229431958716859,0.7917408946951703,0.4776170445356875
3,0.9105172669701168,0.21787862744320213,0.7821159936658749,0.5823592914538259
4,0.9452491094399367,0.14618296057075061,0.7793942992874109,0.7114112032894473
5,0.9627974717989314,0.10511419200845278,0.7688291765637372,0.8321659404516031
6,0.9725998169404314,0.08051305150553933,0.7952296120348377,0.9398400925412502
7,0.9788739362754799,0.06438115045034128,0.7943883610451307,1.0121829389924109
8,0.9832123243617653,0.0523957184089859,0.7973822248614411,1.1278779355135118
9,0.9862736245794578,0.04384460138844167,0.7908749010292954,1.1620468538157165
